iter	Passed	Remaining
0	151	151308
1	160	80231
2	170	56557
3	179	44740
4	187	37335
5	195	32440
6	205	29139
7	213	26479
8	222	24461
9	231	22931
10	240	21602
11	247	20341
12	255	19433
13	263	18532
14	271	17804
15	279	17160
16	288	16694
17	299	16312
18	306	15843
19	315	15455
20	324	15130
21	333	14837
22	341	14494
23	349	14214
24	356	13901
25	364	13645
26	373	13466
27	381	13226
28	389	13051
29	395	12799
30	403	12609
31	411	12457
32	417	12244
33	425	12093
34	431	11900
35	439	11763
36	445	11591
37	452	11459
38	458	11302
39	466	11190
40	473	11068
41	482	11007
42	491	10945
43	499	10859
44	508	10789
45	516	10711
46	525	10648
47	533	10572
48	541	10504
49	548	10429
50	555	10340
51	564	10282
52	571	10203
53	578	10142
54	586	10069
55	593	10002
56	600	9938
57	608	9889
58	614	9807
59	622	9749
60	630	9702
61	637	9637
62	645	9598
63	655	9584
64	664	9555
65	673	9535
66	681	9494
67	689	9449
68	697	9414
69	704	9362
70	713	9329
71	720	9290
72	727	9242
73	735	9201
74	743	9171
75	751	9136
76	760	9118
77	768	9081
78	776	9051
79	784	9026
80	793	8998
81	801	8976
82	809	8941
83	818	8926
84	826	8900
85	835	8880
86	843	8846
87	850	8811
88	858	8791
89	864	8744
90	871	8709
91	877	8663
92	884	8625
93	890	8581
94	897	8550
95	903	8507
96	910	8475
97	916	8438
98	923	8406
99	929	8365
100	935	8324
101	941	8292
102	948	8261
103	956	8243
104	965	8226
105	972	8203
106	980	8179
107	987	8156
108	995	8136
109	1002	8110
110	1010	8093
111	1018	8075
112	1026	8058
113	1034	8041
114	1042	8019
115	1050	8002
116	1056	7970
117	1063	7947
118	1068	7910
119	1075	7884
120	1080	7852
121	1088	7833
122	1095	7807
123	1103	7794
124	1110	7774
125	1118	7758
126	1125	7737
127	1133	7722
128	1140	7700
129	1147	7681
130	1154	7660
131	1162	7644
132	1169	7622
133	1175	7599
134	1181	7571
135	1187	7546
136	1194	7524
137	1202	7509
138	1207	7481
139	1215	7467
140	1221	7442
141	1229	7427
142	1235	7402
143	1242	7386
144	1250	7370
145	1258	7360
146	1265	7340
147	1270	7315
148	1276	7290
149	1284	7276
150	1290	7253
151	1296	7231
152	1302	7208
153	1309	7191
154	1314	7168
155	1320	7145
156	1326	7123
157	1332	7101
158	1339	7084
159	1345	7062
160	1351	7042
161	1358	7027
162	1366	7015
163	1372	6994
164	1379	6983
165	1385	6962
166	1392	6947
167	1398	6926
168	1405	6911
169	1411	6890
170	1417	6872
171	1423	6853
172	1429	6834
173	1436	6817
174	1442	6798
175	1450	6790
176	1457	6777
177	1464	6765
178	1471	6750
179	1480	6743
180	1488	6736
181	1496	6725
182	1504	6718
183	1514	6717
184	1522	6707
185	1529	6694
186	1535	6676
187	1542	6662
188	1549	6648
189	1556	6634
190	1562	6618
191	1569	6604
192	1576	6590
193	1582	6573
194	1588	6559
195	1594	6541
196	1601	6528
197	1607	6512
198	1614	6497
199	1620	6480
200	1627	6468
201	1633	6453
202	1639	6437
203	1645	6419
204	1651	6403
205	1658	6390
206	1664	6375
207	1671	6364
208	1677	6349
209	1684	6336
210	1690	6320
211	1696	6307
212	1702	6291
213	1710	6281
214	1716	6266
215	1723	6254
216	1728	6238
217	1735	6223
218	1741	6209
219	1747	6195
220	1754	6184
221	1760	6169
222	1767	6159
223	1774	6145
224	1780	6133
225	1786	6119
226	1793	6107
227	1800	6095
228	1808	6087
229	1814	6074
230	1822	6066
231	1829	6057
232	1837	6047
233	1844	6036
234	1851	6028
235	1858	6016
236	1864	6003
237	1870	5989
238	1877	5977
239	1882	5962
240	1889	5951
241	1895	5937
242	1901	5923
243	1907	5909
244	1913	5896
245	1919	5884
